Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
open-liberty,library,Official,kernel-slim-java17-openj9,2024-06-05T12:28:08Z,sha256:0f4fb4e762a2f797a74623ddc7252355903fc8843b93126f68478f467a876f62,116778815,65,12934678,0001-01-01T00:00:00Z,web-servers
open-liberty,library,Official,kernel-slim-java11-openj9,2024-06-05T12:28:05Z,sha256:9f11a642efac635ffdf9b39dda0617494ae201f3f39d435973162f8d1456df98,116324948,65,12934678,0001-01-01T00:00:00Z,web-servers
open-liberty,library,Official,kernel-slim,2024-06-05T12:28:02Z,sha256:f4f03fb0e72f37c4ce3ea8f212ca2e8b493b86bab211a49ae44be75361f17337,114756318,65,12934678,0001-01-01T00:00:00Z,web-servers
open-liberty,library,Official,full-java8-openj9,2024-06-05T12:28:00Z,sha256:28b048e010a61952d9470bf52ce0922eb83c4d1a3411186b1b2a03527092c8c8,439774296,65,12934678,0001-01-01T00:00:00Z,web-servers
clefos,library,Official,7.7.1908,2022-01-21T19:00:18Z,,59384221,23,753736,0001-01-01T00:00:00Z,operating-systems
clefos,library,Official,7,2022-01-21T19:00:16Z,,59384221,23,753736,0001-01-01T00:00:00Z,operating-systems
teamspeak,library,Official,3.13.7,2024-03-16T09:19:44Z,sha256:b5bdec55bc87b992c5658e739f3ce465644efa6d997633110b12be3dc3a10796,13971373,536,134294977,0001-01-01T00:00:00Z,
teamspeak,library,Official,3.13,2024-03-16T09:19:43Z,sha256:b5bdec55bc87b992c5658e739f3ce465644efa6d997633110b12be3dc3a10796,13971373,536,134294977,0001-01-01T00:00:00Z,
teamspeak,library,Official,3.13.6,2022-04-05T09:59:38Z,,13481650,536,134294977,0001-01-01T00:00:00Z,
teamspeak,library,Official,3.13.5,2021-05-19T19:59:57Z,,13481531,536,134294977,0001-01-01T00:00:00Z,
teamspeak,library,Official,3.13.3,2021-04-14T23:47:24Z,,12788782,536,134294977,0001-01-01T00:00:00Z,
matomo,library,Official,fpm,2024-06-07T05:50:43Z,sha256:c3fad31889bcc66a007dec015e23e184e259f6da3c8419e34e5a62238dd1d81f,198423271,333,122921979,0001-01-01T00:00:00Z,monitoring-and-observability
matomo,library,Official,apache,2024-06-07T05:50:40Z,sha256:5a629a1fafa6ecdfb1fb705bf72cc7b1ad3d06e54b7d8be3591ba9a65d26ce9a,202439101,333,122921979,0001-01-01T00:00:00Z,monitoring-and-observability
matomo,library,Official,5.0.3-fpm,2024-06-07T05:50:31Z,sha256:c3fad31889bcc66a007dec015e23e184e259f6da3c8419e34e5a62238dd1d81f,198423271,333,122921979,0001-01-01T00:00:00Z,monitoring-and-observability
matomo,library,Official,5.0.3-apache,2024-06-07T05:50:28Z,sha256:5a629a1fafa6ecdfb1fb705bf72cc7b1ad3d06e54b7d8be3591ba9a65d26ce9a,202439101,333,122921979,0001-01-01T00:00:00Z,monitoring-and-observability
matomo,library,Official,5.0.3,2024-06-07T05:50:25Z,sha256:5a629a1fafa6ecdfb1fb705bf72cc7b1ad3d06e54b7d8be3591ba9a65d26ce9a,202439101,333,122921979,0001-01-01T00:00:00Z,monitoring-and-observability
yourls,library,Official,fpm,2024-06-07T07:35:27Z,sha256:06bdcb6899de41034af8ddc547225856e077b1d1e41e27d88bb7d3f00614a563,178931120,288,21258156,0001-01-01T00:00:00Z,content-management-system
yourls,library,Official,apache,2024-06-07T07:35:25Z,sha256:c467b2052573917ae57ab39d6ef12deb565e159819a1e73c28e727eb91c73dd1,182903001,288,21258156,0001-01-01T00:00:00Z,content-management-system
