Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded,SubCategories
jnlp-agent-maven,jenkins,sponsored,latest,2024-06-06T09:26:12Z,sha256:fc9680ceeb6eb1213e8e14e564ea574cde207a69813c49275365548af1cdb109,2433946172,9,119380274,0001-01-01T00:00:00Z,languages-and-frameworks/integration-and-delivery
serving,tensorflow,sponsored,2.16.1-gpu,2024-06-06T10:08:06Z,sha256:937abe6bd8a24609b09f75a2f128aef501c973a856d334023c0fa26e33930cec,12589735060,138,76028363,0001-01-01T00:00:00Z,api-management/integration-and-delivery/machine-learning-and-ai
falco,falcosecurity,sponsored,0.38.1,2024-05-30T08:47:57Z,sha256:d08494d6d5656bfa1ea4a26f20c77cbeaf7badd073fafdecb800d546464f048f,251,16,46824437,0001-01-01T00:00:00Z,
